Match ID,Batter,runs_scored,balls_faced,fours,sixes,strike_rate,was_dismissed,Date,career_avg_runs,career_avg_strike_rate,matches_played_so_far
548352,A Ashish Reddy,3,3,0,0,100.0,1,2012-05-04,10.0,100.0,1
548359,A Ashish Reddy,8,8,1,0,100.0,1,2012-05-08,6.5,100.0,2
548373,A Ashish Reddy,10,4,2,0,250.0,0,2012-05-18,7.0,100.0,3
548376,A Ashish Reddy,4,4,0,0,100.0,1,2012-05-20,7.75,137.5,4
598000,A Ashish Reddy,7,4,1,0,175.0,0,2013-04-05,7.0,130.0,5
598048,A Ashish Reddy,3,4,0,0,75.0,1,2013-04-09,7.0,137.5,6
598010,A Ashish Reddy,16,9,2,0,177.78,1,2013-04-12,6.428571428571429,128.57142857142858,7
598013,A Ashish Reddy,4,5,0,0,80.0,1,2013-04-14,7.625,134.7225,8
598018,A Ashish Reddy,19,15,0,1,126.67,0,2013-04-17,7.222222222222222,128.64222222222222,9
598021,A Ashish Reddy,7,7,1,0,100.0,0,2013-04-19,8.4,128.445,10
598030,A Ashish Reddy,36,16,2,3,225.0,0,2013-04-25,8.272727272727273,125.85909090909091,11
598032,A Ashish Reddy,14,11,1,0,127.27,1,2013-04-27,10.583333333333334,134.12083333333334,12
598044,A Ashish Reddy,5,6,1,0,83.33,1,2013-05-04,10.846153846153847,133.59384615384616,13
829727,A Ashish Reddy,13,9,0,1,144.44,0,2015-04-16,10.428571428571429,130.00357142857143,14
829731,A Ashish Reddy,15,8,1,1,187.5,1,2015-04-18,10.6,130.966,15
829759,A Ashish Reddy,22,8,1,2,275.0,0,2015-04-27,10.875,134.499375,16
829773,A Ashish Reddy,6,6,1,0,100.0,1,2015-05-02,11.529411764705882,142.7641176470588,17
829815,A Ashish Reddy,17,15,0,1,113.33,1,2015-05-17,11.222222222222221,140.38833333333332,18
980907,A Ashish Reddy,32,18,2,3,177.78,1,2016-04-12,11.526315789473685,138.9642105263158,19
980915,A Ashish Reddy,13,8,0,1,162.5,1,2016-04-16,12.55,140.905,20
980953,A Ashish Reddy,2,3,0,0,66.67,0,2016-04-30,12.571428571428571,141.93333333333334,21
1304053,A Badoni,19,9,0,2,211.11,0,2022-03-31,54.0,131.71,1
1304058,A Badoni,19,12,3,0,158.33,1,2022-04-04,36.5,171.41000000000003,2
1304061,A Badoni,10,3,1,1,333.33,0,2022-04-07,30.666666666666668,167.05,3
1304066,A Badoni,5,7,0,0,71.43,1,2022-04-10,25.5,208.62,4
1304077,A Badoni,13,13,2,0,100.0,1,2022-04-19,21.4,181.18200000000002,5
1304083,A Badoni,14,11,0,1,127.27,1,2022-04-24,20.0,167.65166666666667,6
1304088,A Badoni,4,4,0,0,100.0,1,2022-04-29,19.142857142857142,161.88285714285715,7
1304099,A Badoni,15,18,0,0,83.33,0,2022-05-07,17.25,154.1475,8
1304103,A Badoni,8,11,1,0,72.73,1,2022-05-10,17.0,146.2788888888889,9
1304109,A Badoni,0,1,0,0,0.0,1,2022-05-15,16.1,138.924,10
1359477,A Badoni,18,7,1,2,257.14,1,2023-04-01,14.636363636363637,126.29454545454546,11
1359480,A Badoni,23,18,0,0,127.78,1,2023-04-03,14.916666666666666,137.19833333333335,12
1359489,A Badoni,30,24,4,0,125.0,1,2023-04-10,15.538461538461538,136.47384615384615,13
1359495,A Badoni,5,6,0,0,83.33,0,2023-04-15,16.571428571428573,135.65428571428572,14
