Match ID,Bowler,runs_conceded,balls_bowled,wickets,overs_bowled,economy
335982,AA Noffke,35,24,1,4.0,8.75
335982,AB Agarkar,21,24,3,4.0,5.25
335982,AB Dinda,7,18,2,3.0,2.33
335982,CL White,22,6,0,1.0,22.0
335982,I Sharma,6,18,1,3.0,2.0
335982,JH Kallis,47,24,1,4.0,11.75
335982,LR Shukla,9,7,1,1.1666666666666667,7.71
335982,P Kumar,37,24,0,4.0,9.25
335982,SB Joshi,26,18,0,3.0,8.67
335982,SC Ganguly,20,24,3,4.0,5.0
335982,Z Khan,38,24,1,4.0,9.5
335983,B Lee,30,24,1,4.0,7.5
335983,IK Pathan,47,24,2,4.0,11.75
335983,JDP Oram,37,24,0,4.0,9.25
335983,JR Hopes,53,24,1,4.0,13.25
335983,Joginder Sharma,46,24,1,4.0,11.5
335983,K Goel,25,12,0,2.0,12.5
335983,M Muralitharan,31,24,1,4.0,7.75
335983,MS Gony,40,24,1,4.0,10.0
335983,P Amarnath,42,24,1,4.0,10.5
335983,PP Chawla,19,6,0,1.0,19.0
335983,S Sreesanth,34,18,0,3.0,11.33
335983,WA Mota,22,12,1,2.0,11.0
335984,B Geeves,41,24,1,4.0,10.25
335984,D Salunkhe,6,6,0,1.0,6.0
335984,DL Vettori,35,24,1,4.0,8.75
335984,GD McGrath,20,24,1,4.0,5.0
335984,MF Maharoof,11,24,2,4.0,2.75
335984,MM Patel,25,18,0,3.0,8.33
335984,R Bhatia,15,24,3,4.0,3.75
335984,SK Trivedi,29,18,0,3.0,9.67
335984,SK Warne,16,12,0,2.0,8.0
335984,SR Watson,30,24,1,4.0,7.5
335984,YK Pathan,16,13,0,2.1666666666666665,7.38
335985,A Nehra,43,24,1,4.0,10.75
335985,AM Nayar,10,6,0,1.0,10.0
335985,B Akhil,17,18,2,3.0,5.67
335985,DS Kulkarni,17,16,1,2.6666666666666665,6.38
335985,Harbhajan Singh,35,24,2,4.0,8.75
335985,JH Kallis,41,18,0,3.0,13.67
335985,P Kumar,28,24,1,4.0,7.0
335985,R Vinay Kumar,41,24,0,4.0,10.25
335985,SB Joshi,10,12,0,2.0,5.0
335985,SM Pollock,17,24,0,4.0,4.25
335985,ST Jayasuriya,39,24,1,4.0,9.75
335985,Z Khan,17,24,4,4.0,4.25
335986,A Symonds,13,12,0,2.0,6.5
335986,AB Agarkar,19,12,2,2.0,9.5
335986,AB Dinda,17,18,1,3.0,5.67
335986,DJ Hussey,34,18,1,3.0,11.33
335986,I Sharma,6,18,1,3.0,2.0
335986,M Kartik,17,22,4,3.6666666666666665,4.64
335986,Mohammad Hafeez,7,24,1,4.0,1.75
335986,PP Ojha,16,24,2,4.0,4.0
335986,RP Singh,15,18,1,3.0,5.0
335986,SB Bangar,13,18,0,3.0,4.33
335986,SB Styris,18,24,0,4.0,4.5
335986,WPUJC Vaas,9,18,2,3.0,3.0
335987,B Lee,32,24,1,4.0,8.0
335987,D Salunkhe,19,11,1,1.8333333333333335,10.36
335987,IK Pathan,19,24,1,4.0,4.75
335987,JR Hopes,32,24,1,4.0,8.0
335987,MM Patel,36,24,2,4.0,9.0
335987,PP Chawla,27,12,0,2.0,13.5
335987,Pankaj Singh,12,6,0,1.0,12.0
335987,S Sreesanth,29,19,1,3.1666666666666665,9.16
335987,SK Trivedi,25,24,2,4.0,6.25
335987,SK Warne,19,24,3,4.0,4.75
335987,SR Watson,37,24,0,4.0,9.25
335987,WA Mota,12,6,0,1.0,12.0
335987,YK Pathan,13,6,0,1.0,13.0
335988,A Symonds,35,12,0,2.0,17.5
335988,GD McGrath,22,24,0,4.0,5.5
335988,MF Maharoof,35,24,2,4.0,8.75
335988,Mohammad Asif,19,24,2,4.0,4.75
335988,PP Ojha,3,6,0,1.0,3.0
335988,R Bhatia,27,24,3,4.0,6.75
335988,RP Singh,26,18,1,3.0,8.67
335988,SB Bangar,29,12,0,2.0,14.5
335988,Shahid Afridi,17,12,0,2.0,8.5
335988,VY Mahesh,28,24,1,4.0,7.0
335988,WPUJC Vaas,21,18,0,3.0,7.0
335989,A Nehra,28,24,2,4.0,7.0
335989,AM Nayar,14,6,0,1.0,14.0
335989,DJ Bravo,35,18,0,3.0,11.67
335989,DS Kulkarni,23,18,1,3.0,7.67
335989,Harbhajan Singh,14,12,0,2.0,7.0
335989,JDP Oram,51,24,1,4.0,12.75
335989,Joginder Sharma,27,24,2,4.0,6.75
335989,M Muralitharan,36,24,2,4.0,9.0
335989,MA Khote,29,18,2,3.0,9.67
335989,MS Gony,16,24,1,4.0,4.0
335989,P Amarnath,57,24,1,4.0,14.25
335989,SM Pollock,31,18,0,3.0,10.33
335989,VS Yeligati,11,6,0,1.0,11.0
335990,A Symonds,46,17,0,2.8333333333333335,16.24
335990,D Kalyankrishna,30,18,1,3.0,10.0
335990,D Salunkhe,9,6,0,1.0,9.0
335990,MM Patel,53,24,0,4.0,13.25
335990,PP Ojha,23,12,0,2.0,11.5
335990,Pankaj Singh,14,12,0,2.0,7.0
335990,RP Singh,41,24,2,4.0,10.25
335990,SK Trivedi,36,18,0,3.0,12.0
335990,SK Warne,46,24,2,4.0,11.5
335990,SR Watson,30,24,1,4.0,7.5
335990,Shahid Afridi,27,24,3,4.0,6.75
335990,WPUJC Vaas,42,24,1,4.0,10.5
335990,YK Pathan,20,12,2,2.0,10.0
335991,A Nehra,22,18,2,3.0,7.33
335991,B Lee,9,24,2,4.0,2.25
335991,DJ Bravo,27,18,0,3.0,9.0
335991,DS Kulkarni,35,24,3,4.0,8.75
335991,Harbhajan Singh,30,24,4,4.0,7.5
335991,IK Pathan,17,24,2,4.0,4.25
335991,MA Khote,22,12,0,2.0,11.0
335991,PP Chawla,15,24,2,4.0,3.75
335991,S Sreesanth,27,24,2,4.0,6.75
335991,SM Pollock,39,24,1,4.0,9.75
335991,VRV Singh,39,24,1,4.0,9.75
335992,A Kumble,21,24,0,4.0,5.25
335992,JH Kallis,7,6,0,1.0,7.0
335992,MM Patel,20,18,2,3.0,6.67
335992,P Kumar,42,18,1,3.0,14.0
335992,R Vinay Kumar,14,12,0,2.0,7.0
335992,SB Joshi,27,19,1,3.1666666666666665,8.53
335992,SK Trivedi,27,24,1,4.0,6.75
335992,SK Warne,23,24,2,4.0,5.75
335992,SR Watson,18,24,3,4.0,4.5
335992,Sohail Tanvir,30,24,0,4.0,7.5
335992,YK Pathan,10,6,0,1.0,10.0
335992,Z Khan,24,24,1,4.0,6.0
335993,AB Agarkar,19,18,1,3.0,6.33
335993,AB Dinda,19,18,0,3.0,6.33
335993,DJ Hussey,10,6,0,1.0,10.0
335993,I Sharma,19,18,0,3.0,6.33
335993,JDP Oram,32,24,3,4.0,8.0
335993,Joginder Sharma,30,24,2,4.0,7.5
335993,LR Shukla,18,12,0,2.0,9.0
335993,M Kartik,33,18,0,3.0,11.0
335993,M Muralitharan,9,24,0,4.0,2.25
335993,MS Gony,39,24,2,4.0,9.75
335993,Mohammad Hafeez,15,12,0,2.0,7.5
335993,P Amarnath,29,24,2,4.0,7.25
335994,A Nehra,19,12,0,2.0,9.5
335994,AM Nayar,21,6,0,1.0,21.0
335994,D Kalyankrishna,23,12,0,2.0,11.5
335994,DJ Bravo,29,13,0,2.1666666666666665,13.38
335994,DNT Zoysa,27,24,1,4.0,6.75
335994,DS Kulkarni,8,6,0,1.0,8.0
335994,PP Ojha,14,12,0,2.0,7.0
335994,RP Singh,13,24,2,4.0,3.25
335994,SB Bangar,34,24,2,4.0,8.5
335994,SD Chitnis,19,12,0,2.0,9.5
335994,SM Pollock,33,12,0,2.0,16.5
335994,ST Jayasuriya,17,12,0,2.0,8.5
335994,Shahid Afridi,31,24,2,4.0,7.75
335995,B Lee,33,24,1,4.0,8.25
335995,GD McGrath,29,24,1,4.0,7.25
335995,IK Pathan,23,24,3,4.0,5.75
335995,MF Maharoof,30,18,0,3.0,10.0
335995,Mohammad Asif,37,24,2,4.0,9.25
335995,PP Chawla,27,24,0,4.0,6.75
335995,R Bhatia,4,6,1,1.0,4.0
335995,S Sreesanth,25,12,0,2.0,12.5
335995,Shoaib Malik,28,21,1,3.5,8.0
335995,VRV Singh,29,24,3,4.0,7.25
335995,VY Mahesh,23,24,1,4.0,5.75
335995,Yuvraj Singh,10,12,1,2.0,5.0
335996,B Akhil,34,24,0,4.0,8.5
335996,DW Steyn,37,24,0,4.0,9.25
335996,JA Morkel,35,24,1,4.0,8.75
335996,JDP Oram,25,24,2,4.0,6.25
335996,JH Kallis,36,24,0,4.0,9.0
335996,Joginder Sharma,26,22,2,3.6666666666666665,7.09
335996,MS Gony,34,24,3,4.0,8.5
335996,P Amarnath,38,24,2,4.0,9.5
335996,P Kumar,29,24,2,4.0,7.25
335996,Z Khan,38,24,3,4.0,9.5
335997,A Nehra,9,6,0,1.0,9.0
335997,AB Agarkar,19,24,1,4.0,4.75
335997,AB Dinda,12,24,1,4.0,3.0
335997,CRD Fernando,39,24,1,4.0,9.75
335997,DJ Bravo,24,24,1,4.0,6.0
335997,DS Kulkarni,12,18,0,3.0,4.0
335997,I Sharma,33,22,1,3.6666666666666665,9.0
335997,LR Shukla,11,6,0,1.0,11.0
335997,M Kartik,23,18,0,3.0,7.67
335997,Mohammad Hafeez,11,6,0,1.0,11.0
335997,SC Ganguly,14,12,0,2.0,7.0
335997,SM Pollock,27,24,2,4.0,6.75
335997,ST Jayasuriya,13,24,4,4.0,3.25
335998,DL Vettori,19,24,1,4.0,4.75
335998,DW Steyn,25,24,2,4.0,6.25
335998,GD McGrath,29,24,4,4.0,7.25
